,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
39,-0.349037,0.2965994,-0.073429726,-0.21789232,-0.03580348,0.203746,-0.16930003,0.0010784852,0.542037,-0.399713,-0.061999273,-0.37659684,-0.06412242,-0.47860157,0.07997378,0.1821465,-0.33415645,0.0742992,0.09616006,0.378171,-0.34894648,0.06828441,0.07876888,-0.30402374,-0.5934561,0.50352603,0.09131669,0.2696908,-0.132697,0.8304511
40,-0.6840789,0.4284779,-0.15713276,0.20732857,-0.3818279,0.30331025,-0.42999694,0.1088718,0.24453285,-0.11459489,-0.013125682,-0.6114737,0.2837756,-0.4775975,0.08161739,0.2727287,-0.2339207,0.22592637,0.14649095,0.41725883,-0.52779377,-0.25702313,0.43269932,0.3732984,-0.4405108,0.16799161,-0.5349791,-0.019605093,-0.7605258,0.4559273
41,-0.78237486,0.22242303,-0.23136193,0.48907992,-0.25962886,0.21168207,-0.14163409,0.057228573,-0.23645854,0.24062186,-0.19552773,-0.7254568,0.11163788,0.40410417,0.11138386,-0.011113978,0.2648818,0.118020765,0.2454807,0.37015048,-0.20063424,-0.65583605,0.16120751,0.6733666,0.015261018,-0.60086673,0.10996667,0.050950855,-0.6615335,-0.0378409
42,-0.53690445,0.2803677,-0.26183945,-0.170332,-0.16369937,0.21303457,-0.2922415,0.18333165,0.38954854,0.047012232,0.0016383856,-0.33927068,-0.08141779,-0.115718216,0.06207006,0.28091338,-0.12872076,0.15171409,0.3774001,0.4230114,-0.5591131,0.024480123,0.021605227,-0.15783589,-0.514589,0.44890898,-0.029176177,0.35087883,-0.17835441,0.68950415
43,-0.7384979,0.41347426,-0.15901561,0.14223996,-0.36072195,0.2673335,-0.32210368,0.15668194,0.3688186,-0.071930684,-0.0074123773,-0.6006495,0.114289105,-0.4073569,0.060257234,0.3646499,-0.22213045,0.2515829,0.20423496,0.28646553,-0.4557232,-0.29450417,0.3942001,0.39425948,-0.34420228,0.07208977,-0.49325582,0.0907259,-0.74197537,0.47435117
44,-0.8354823,0.46402282,-0.2725177,0.14287566,-0.2653532,0.2036361,-0.088068366,0.2147178,0.50032914,0.26414433,-0.11342198,-0.64777464,-0.3078722,-0.35512474,0.11117861,0.41721278,-0.19719338,0.22694159,0.36534673,0.028251823,-0.2855049,-0.4849208,0.39108574,0.41046786,-0.31706992,-0.2562698,-0.55705446,0.26279727,-0.7862423,0.41146538
45,-0.78393215,0.11194349,-0.24270348,0.41494307,-0.30388984,0.3488872,-0.30223992,0.076975375,-0.3498117,0.027822047,-0.25550884,-0.6901947,0.38043532,0.5190642,0.06605767,-0.23625386,0.42988956,0.0809872,0.20827587,0.5659067,-0.31667393,-0.49641633,0.014064763,0.78838676,-0.28980488,-0.75515234,0.2609463,-0.026959572,-0.7096826,-0.07401028
46,-0.49274388,0.28829768,-0.29429162,-0.25028515,-0.15977037,0.27968818,-0.30947,0.13096628,0.45268202,-0.19166236,-0.056307636,-0.3238361,0.09462421,-0.23794347,0.015323678,0.1737496,-0.111289315,0.08505668,0.43085173,0.48854572,-0.60613805,0.09560307,0.005828884,-0.1680086,-0.5833872,0.5707621,0.0040652286,0.32667524,-0.12753676,0.7460973
47,-0.4423489,0.58679676,-0.13039441,0.33142734,-0.1978388,0.11296381,0.1527316,0.15452349,0.28157693,-0.010525453,0.10951106,-0.5833487,0.038058285,-0.432606,0.13315442,0.4276424,-0.17720218,0.14533602,0.08366504,0.17324491,-0.3802763,-0.55333894,0.5421245,0.22718878,-0.23021628,-0.0002994469,-0.68755686,-0.032130364,-0.81402814,0.43994504
48,-0.809131,0.5086269,-0.35569024,0.15793994,-0.28993434,0.24595115,-0.10428611,0.14897476,0.5343548,0.18115705,-0.098622285,-0.67447156,-0.2827269,-0.46320432,0.055298425,0.4803441,-0.08928967,0.19835849,0.32226235,0.07745717,-0.28543562,-0.47095805,0.42941093,0.3308671,-0.4504542,-0.39806736,-0.8009775,0.30254224,-0.81011295,0.30093437
49,-0.81900567,-0.040257726,-0.18919139,-0.086533524,-0.66322863,0.10016194,-0.59546614,0.031971842,-0.1611839,0.130284,-0.28466785,-0.55796266,0.23976512,-0.12467233,-0.20858337,-0.11989079,-0.2145321,0.36824504,0.3240823,-0.18083744,-0.5472102,0.38550425,-0.39142853,0.8099212,-0.50855076,-0.76230586,-0.008428658,-0.54213524,-0.27486143,0.012258816
50,-0.5486203,0.50439906,-0.1018342,0.14285472,-0.14997959,-0.038229138,0.42310458,0.2470685,0.357493,0.6935962,0.08010676,-0.3821268,-0.4823906,0.070007436,0.22380742,0.343677,-0.15851942,0.32609117,0.18947487,-0.049468257,0.36938083,-0.23962606,0.2628466,-0.57084775,-0.1647095,0.30556232,-0.21849392,0.6618764,-0.5157779,0.53073454
51,-0.68382895,0.38108712,-0.16223373,0.124519944,-0.33310753,0.29496124,-0.25681308,0.12044681,0.271675,-0.13846119,0.09868583,-0.5624819,0.2767632,-0.45845094,0.061042294,0.29330716,-0.10606405,0.14549531,-0.09196518,0.4726493,-0.505378,-0.24538897,0.4373525,0.4034815,-0.45276693,-0.115133926,-0.8384265,0.017277868,-0.8265142,0.38042033
52,-0.7566323,0.10490346,-0.23470157,0.41307202,-0.31558004,0.38208073,-0.33921936,0.037111316,-0.3420178,0.022088757,-0.23052864,-0.69360477,0.3799754,0.5095039,0.002315831,-0.25778693,0.4800435,0.07856242,-0.06331671,0.54677624,-0.3095627,-0.28194055,0.006905633,0.78705925,-0.23341145,-0.7502368,-0.04695767,-0.027384035,-0.48742744,-0.18453397
53,-0.42856407,0.2934867,-0.47963634,-0.32502007,-0.17399676,0.28953364,-0.2509316,0.0034745308,0.5750361,-0.42912236,-0.23881088,-0.32885528,-0.09099826,-0.48246863,0.0008182497,0.193727,-0.20712686,0.028886257,0.44368204,0.38160327,-0.51463515,0.22963549,0.016589643,-0.35964513,-0.6578693,0.6298822,0.13403447,0.3586183,-0.0043072198,0.79142135
54,-0.6956695,0.512003,-0.14313105,0.28308448,-0.33240798,0.2078581,-0.32482198,0.1209447,0.21519664,-0.020068983,-0.08235044,-0.5727963,0.23327658,-0.42948216,0.10837739,0.34485263,-0.2430478,0.2349557,0.18473202,0.35211653,-0.44381458,-0.3790802,0.4875444,0.3257481,-0.35191125,0.27092066,-0.45605004,-0.063705616,-0.7959265,0.47119132
