sub_id,session,block,trial,left_stim_id,right_stim_id,left_pwin,right_pwin,chosen_stim_id,choice_side,reward,rt,QL,QR,Q_chosen,UncL,UncR,dQ,dUnc
48,0,2,1,90,92,0.2,0.6500000000000001,92,1,1,-593309.7633971743,0.5,0.25,0.25,0.08333333333333333,0.0375,0.25,0.04583333333333333
48,0,2,2,90,94,0.2,0.8,94,1,1,-593314.237820793,0.5714285714285714,0.6,0.6,0.030612244897959183,0.02181818181818182,-0.02857142857142858,0.008794063079777363
48,0,2,3,92,94,0.6500000000000001,0.8,94,1,1,-593320.6475706423,0.5,0.2,0.5,0.08333333333333333,0.02666666666666667,0.3,0.05666666666666666
48,0,2,4,90,94,0.2,0.8,94,1,1,-593324.5396483233,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,2,5,90,94,0.2,0.8,94,1,0,-593330.6908245534,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,2,6,92,94,0.6500000000000001,0.8,92,0,1,-593334.2928561457,0.6666666666666666,0.5,0.6666666666666666,0.05555555555555555,0.08333333333333333,0.16666666666666663,-0.027777777777777776
48,0,2,7,90,94,0.2,0.8,90,0,0,-593340.2471786997,0.5,0.5,0.5,0.05,0.08333333333333333,0.0,-0.033333333333333326
48,0,2,8,90,94,0.2,0.8,94,1,1,-593345.3057524291,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0
48,0,2,9,92,94,0.6500000000000001,0.8,92,0,0,-593349.394724942,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,2,10,90,94,0.2,0.8,90,0,0,-593355.2103893514,0.6666666666666666,0.5,0.5,0.05555555555555555,0.08333333333333333,0.16666666666666663,-0.027777777777777776
48,0,2,11,92,94,0.6500000000000001,0.8,94,1,0,-593360.6332675028,0.5,0.75,0.75,0.05,0.0375,-0.25,0.012500000000000004
48,0,2,12,92,94,0.6500000000000001,0.8,92,0,1,-593368.1150311917,0.6666666666666666,0.5,0.5,0.05555555555555555,0.05,0.16666666666666663,0.00555555555555555
48,0,2,13,90,94,0.2,0.8,94,1,0,-593373.3601998893,0.6666666666666666,0.6,0.6,0.05555555555555555,0.04,0.06666666666666665,0.015555555555555552
48,0,2,14,90,92,0.2,0.6500000000000001,92,1,1,-593377.5232226389,0.8,0.3333333333333333,0.8,0.02666666666666667,0.05555555555555555,0.46666666666666673,-0.028888888888888884
48,0,2,15,91,93,0.35,0.5,93,1,1,-593383.2431582325,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0
48,0,2,16,91,92,0.35,0.6500000000000001,92,1,1,-593388.4738593642,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.031746031746031744,0.01984126984126984,-0.16666666666666674,0.011904761904761904
48,0,2,17,93,94,0.5,0.8,93,0,0,-593393.8455980406,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.031746031746031744,0.05555555555555555,0.3333333333333333,-0.023809523809523808
48,0,3,0,96,98,0.6,0.5,96,0,1,-593426.1453890771,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.015306122448979591,0.05555555555555555,0.5238095238095237,-0.04024943310657596
48,0,3,1,98,100,0.5,0.55,100,1,0,-593430.7754636628,0.6666666666666666,0.75,0.75,0.05555555555555555,0.0375,-0.08333333333333337,0.018055555555555554
48,0,3,2,98,100,0.5,0.55,98,0,1,-593436.9219005102,0.75,0.6,0.6,0.020833333333333332,0.04,0.15000000000000002,-0.01916666666666667
48,0,3,3,96,100,0.6,0.55,96,0,0,-593441.3431930221,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.031746031746031744,0.0,0.023809523809523808
48,0,3,4,98,100,0.5,0.55,98,0,0,-593447.492858397,0.75,0.5714285714285714,0.75,0.0375,0.030612244897959183,0.1785714285714286,0.006887755102040816
48,0,3,5,96,98,0.6,0.5,98,1,0,-593453.0932481226,0.75,0.6666666666666666,0.6666666666666666,0.020833333333333332,0.031746031746031744,0.08333333333333337,-0.010912698412698412
48,0,3,6,96,100,0.6,0.55,96,0,0,-593458.3124388326,0.8,0.5714285714285714,0.8,0.02666666666666667,0.030612244897959183,0.22857142857142865,-0.003945578231292515
48,0,3,7,96,98,0.6,0.5,98,1,1,-593462.336900768,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.031746031746031744,0.030612244897959183,0.09523809523809523,0.0011337868480725613
48,0,3,8,96,98,0.6,0.5,98,1,1,-593466.978018283,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,3,9,97,99,0.45,0.2,97,0,0,-593473.1389535286,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,3,10,98,99,0.5,0.2,99,1,1,-593478.6977311721,0.3333333333333333,0.5,0.5,0.05555555555555555,0.08333333333333333,-0.16666666666666669,-0.027777777777777776
48,0,3,11,97,98,0.45,0.5,98,1,1,-593488.8892833013,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.0
48,0,3,12,96,99,0.6,0.2,96,0,0,-593493.7208103819,0.5,0.3333333333333333,0.3333333333333333,0.05,0.05555555555555555,0.16666666666666669,-0.00555555555555555
48,0,3,13,97,98,0.45,0.5,97,0,1,-593502.5818187568,0.3333333333333333,0.5,0.5,0.05555555555555555,0.05,-0.16666666666666669,0.00555555555555555
48,0,3,14,96,99,0.6,0.2,99,1,0,-593508.8783015106,0.3333333333333333,0.6,0.6,0.05555555555555555,0.04,-0.26666666666666666,0.015555555555555552
48,0,3,15,96,97,0.6,0.45,96,0,1,-593513.3144187416,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.031746031746031744,-0.3333333333333333,0.023809523809523808
48,0,3,16,97,99,0.45,0.2,97,0,1,-593517.2523441837,0.5714285714285714,0.5,0.5,0.030612244897959183,0.05,0.0714285714285714,-0.01938775510204082
48,0,3,17,99,100,0.2,0.55,100,1,1,-593522.2194220423,0.5714285714285714,0.4,0.5714285714285714,0.030612244897959183,0.04,0.17142857142857137,-0.009387755102040818
48,0,3,18,98,100,0.5,0.55,98,0,1,-593532.0331322793,0.3333333333333333,0.625,0.625,0.05555555555555555,0.026041666666666668,-0.2916666666666667,0.029513888888888885
48,0,3,19,96,100,0.6,0.55,100,1,1,-593537.7382520735,0.3333333333333333,0.4,0.4,0.05555555555555555,0.04,-0.06666666666666671,0.015555555555555552
48,0,3,20,99,100,0.2,0.55,99,0,0,-593542.373960987,0.6666666666666666,0.5,0.6666666666666666,0.022222222222222223,0.03571428571428571,0.16666666666666663,-0.01349206349206349
48,0,3,21,97,99,0.45,0.2,97,0,1,-593547.875003455,0.3333333333333333,0.5,0.5,0.05555555555555555,0.03571428571428571,-0.16666666666666669,0.01984126984126984
48,0,3,22,98,99,0.5,0.2,99,1,0,-593552.0656721568,0.3333333333333333,0.7,0.7,0.05555555555555555,0.019090909090909092,-0.36666666666666664,0.036464646464646464
48,0,4,0,102,103,0.5,0.8,103,1,1,-593584.300195275,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,4,1,102,106,0.5,0.6500000000000001,102,0,0,-593587.806770144,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.05555555555555555,0.030612244897959183,-0.23809523809523808,0.02494331065759637
48,0,4,2,103,106,0.8,0.6500000000000001,106,1,0,-593597.6175763108,0.3333333333333333,0.5,0.5,0.05555555555555555,0.08333333333333333,-0.16666666666666669,-0.027777777777777776
48,0,4,3,102,103,0.5,0.8,103,1,0,-593605.2922340746,0.3333333333333333,0.625,0.625,0.05555555555555555,0.026041666666666668,-0.2916666666666667,0.029513888888888885
48,0,4,4,102,106,0.5,0.6500000000000001,106,1,0,-593611.8173330207,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.0,0.0
48,0,4,5,104,105,0.2,0.35,105,1,0,-593617.1188971291,0.7272727272727273,0.3333333333333333,0.7272727272727273,0.01652892561983471,0.05555555555555555,0.393939393939394,-0.03902662993572084
48,0,4,6,102,104,0.5,0.2,104,1,0,-593621.3744283479,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.022222222222222223,-0.3333333333333333,0.033333333333333326
48,0,4,7,105,106,0.35,0.6500000000000001,106,1,0,-593626.647037788,0.25,0.6,0.6,0.0375,0.02181818181818182,-0.35,0.01568181818181818
48,0,4,8,103,105,0.8,0.35,105,1,1,-593631.0809362603,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,4,9,103,106,0.8,0.6500000000000001,106,1,1,-593634.3080564307,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,4,10,102,103,0.5,0.8,103,1,1,-593647.0398193413,0.5,0.3333333333333333,0.5,0.08333333333333333,0.05555555555555555,0.16666666666666669,0.027777777777777776
48,0,4,11,102,104,0.5,0.2,102,0,0,-593651.516344238,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.05555555555555555,-0.3333333333333333,0.0
48,0,4,12,102,105,0.5,0.35,102,0,0,-593656.5774354335,0.5,0.3333333333333333,0.3333333333333333,0.05,0.05555555555555555,0.16666666666666669,-0.00555555555555555
48,0,4,13,102,104,0.5,0.2,102,0,0,-593661.7437088938,0.3333333333333333,0.5,0.3333333333333333,0.05555555555555555,0.05,-0.16666666666666669,0.00555555555555555
48,0,4,14,103,104,0.8,0.2,103,0,1,-593667.2093579231,0.25,0.5,0.25,0.0375,0.05,-0.25,-0.012500000000000004
48,0,4,15,102,105,0.5,0.35,105,1,0,-593672.1580555127,0.2,0.5,0.5,0.02666666666666667,0.05,-0.3,-0.023333333333333334
